Architecture,epoch,train_loss,valid_loss,train_acc,valid_acc,train_SE,valid_SE,train_SP,valid_SP,train_PC,valid_PC,train_JS,valid_JS,train_DC,valid_DC,lr,best_epoch,num_epochs,batch_size,augmentation_prob,pretrained,weight_decay,number_layers_freeze
TernausNet16,40,0.19010611574189,0.3074123471148483,"tensor(0.9887, device='cuda:0')","tensor(0.9907, device='cuda:0')","tensor(0.3036, device='cuda:0')","tensor(0.1653, device='cuda:0')","tensor(0.9971, device='cuda:0')","tensor(0.9987, device='cuda:0')","tensor(0.5372, device='cuda:0')","tensor(0.4682, device='cuda:0')","tensor(0.2394, device='cuda:0')","tensor(0.1425, device='cuda:0')","tensor(0.3645, device='cuda:0')","tensor(0.2300, device='cuda:0')",0.0001,18,50,32,0.5,True,0.0,0
TernausNet16,41,0.19075425324319792,0.31596107103281057,"tensor(0.9887, device='cuda:0')","tensor(0.9906, device='cuda:0')","tensor(0.3062, device='cuda:0')","tensor(0.1376, device='cuda:0')","tensor(0.9971, device='cuda:0')","tensor(0.9990, device='cuda:0')","tensor(0.5348, device='cuda:0')","tensor(0.4818, device='cuda:0')","tensor(0.2411, device='cuda:0')","tensor(0.1222, device='cuda:0')","tensor(0.3671, device='cuda:0')","tensor(0.2015, device='cuda:0')",0.00010499999999999999,18,50,32,0.5,True,0.0,0
TernausNet16,42,0.1836469776089452,0.2799358471455131,"tensor(0.9888, device='cuda:0')","tensor(0.9906, device='cuda:0')","tensor(0.3139, device='cuda:0')","tensor(0.1815, device='cuda:0')","tensor(0.9970, device='cuda:0')","tensor(0.9984, device='cuda:0')","tensor(0.5387, device='cuda:0')","tensor(0.4847, device='cuda:0')","tensor(0.2470, device='cuda:0')","tensor(0.1544, device='cuda:0')","tensor(0.3747, device='cuda:0')","tensor(0.2490, device='cuda:0')",0.00011000000000000002,18,50,32,0.5,True,0.0,0
TernausNet16,43,0.18594525040698653,0.2552457459729313,"tensor(0.9888, device='cuda:0')","tensor(0.9906, device='cuda:0')","tensor(0.3033, device='cuda:0')","tensor(0.2157, device='cuda:0')","tensor(0.9971, device='cuda:0')","tensor(0.9981, device='cuda:0')","tensor(0.5390, device='cuda:0')","tensor(0.4898, device='cuda:0')","tensor(0.2401, device='cuda:0')","tensor(0.1784, device='cuda:0')","tensor(0.3663, device='cuda:0')","tensor(0.2829, device='cuda:0')",0.000115,18,50,32,0.5,True,0.0,0
TernausNet16,44,0.1931373955221737,0.27232631411857283,"tensor(0.9887, device='cuda:0')","tensor(0.9907, device='cuda:0')","tensor(0.3082, device='cuda:0')","tensor(0.1893, device='cuda:0')","tensor(0.9970, device='cuda:0')","tensor(0.9985, device='cuda:0')","tensor(0.5290, device='cuda:0')","tensor(0.5006, device='cuda:0')","tensor(0.2419, device='cuda:0')","tensor(0.1608, device='cuda:0')","tensor(0.3683, device='cuda:0')","tensor(0.2564, device='cuda:0')",0.00012000000000000002,18,50,32,0.5,True,0.0,0
TernausNet16,45,0.19054121129653034,0.27551934054734767,"tensor(0.9888, device='cuda:0')","tensor(0.9906, device='cuda:0')","tensor(0.3107, device='cuda:0')","tensor(0.1765, device='cuda:0')","tensor(0.9970, device='cuda:0')","tensor(0.9986, device='cuda:0')","tensor(0.5331, device='cuda:0')","tensor(0.4979, device='cuda:0')","tensor(0.2439, device='cuda:0')","tensor(0.1519, device='cuda:0')","tensor(0.3705, device='cuda:0')","tensor(0.2454, device='cuda:0')",0.000125,18,50,32,0.5,True,0.0,0
TernausNet16,46,0.18296253781358734,0.2290457057147607,"tensor(0.9888, device='cuda:0')","tensor(0.9904, device='cuda:0')","tensor(0.3127, device='cuda:0')","tensor(0.3151, device='cuda:0')","tensor(0.9970, device='cuda:0')","tensor(0.9969, device='cuda:0')","tensor(0.5393, device='cuda:0')","tensor(0.4747, device='cuda:0')","tensor(0.2463, device='cuda:0')","tensor(0.2375, device='cuda:0')","tensor(0.3741, device='cuda:0')","tensor(0.3633, device='cuda:0')",0.00012000000000000002,18,50,32,0.5,True,0.0,0
TernausNet16,47,0.18966987305328625,0.36140478476971855,"tensor(0.9887, device='cuda:0')","tensor(0.9906, device='cuda:0')","tensor(0.3121, device='cuda:0')","tensor(0.1129, device='cuda:0')","tensor(0.9970, device='cuda:0')","tensor(0.9992, device='cuda:0')","tensor(0.5326, device='cuda:0')","tensor(0.4525, device='cuda:0')","tensor(0.2438, device='cuda:0')","tensor(0.1014, device='cuda:0')","tensor(0.3708, device='cuda:0')","tensor(0.1692, device='cuda:0')",0.000115,18,50,32,0.5,True,0.0,0
TernausNet16,48,0.1837775568601464,0.2458567820642193,"tensor(0.9888, device='cuda:0')","tensor(0.9906, device='cuda:0')","tensor(0.3013, device='cuda:0')","tensor(0.2411, device='cuda:0')","tensor(0.9972, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0.5435, device='cuda:0')","tensor(0.4898, device='cuda:0')","tensor(0.2396, device='cuda:0')","tensor(0.1946, device='cuda:0')","tensor(0.3661, device='cuda:0')","tensor(0.3047, device='cuda:0')",0.00011000000000000002,18,50,32,0.5,True,0.0,0
TernausNet16,49,0.18269544377046473,0.284280803436537,"tensor(0.9888, device='cuda:0')","tensor(0.9907, device='cuda:0')","tensor(0.3009, device='cuda:0')","tensor(0.1878, device='cuda:0')","tensor(0.9972, device='cuda:0')","tensor(0.9985, device='cuda:0')","tensor(0.5429, device='cuda:0')","tensor(0.4840, device='cuda:0')","tensor(0.2387, device='cuda:0')","tensor(0.1592, device='cuda:0')","tensor(0.3647, device='cuda:0')","tensor(0.2534, device='cuda:0')",0.00010499999999999999,18,50,32,0.5,True,0.0,0
Architecture,test_loss,test_acc,test_SE,test_SP,test_PC,test_JS,test_DC
TernausNet16,0.29046514340807006,"tensor(0.9937, device='cuda:0')","tensor(0.3637, device='cuda:0')","tensor(0.9970, device='cuda:0')","tensor(0.3827, device='cuda:0')","tensor(0.2330, device='cuda:0')","tensor(0.3542, device='cuda:0')"
